Gray Images
Image	Object	Volume_mm3	Min	Max	Mean	Std	

Color Images
Image	Object	Volume_mm3	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics

kirby142a_3_1_ax.img	Telencephalon_L	545603	1.0000	378.0000	148.7835	56.9909	
kirby142a_3_1_ax.img	Telencephalon_R	552216	0.0000e+00	376.0000	156.1920	58.5402	
kirby142a_3_1_ax.img	Diencephalon_L	9156	30.0000	318.0000	215.9604	35.2760	
kirby142a_3_1_ax.img	Diencephalon_R	9071	56.0000	355.0000	219.9847	34.1217	
kirby142a_3_1_ax.img	Mesencephalon	10516	68.0000	330.0000	252.7194	28.4571	
kirby142a_3_1_ax.img	Metencephalon	165803	1.0000	310.0000	150.7642	55.8619	
kirby142a_3_1_ax.img	Myelencephalon	4912	36.0000	297.0000	214.7564	36.8113	
kirby142a_3_1_ax.img	CSF	107334	0.0000e+00	283.0000	38.3012	30.1581	



Type1-L2 Statistics

kirby142a_3_1_ax.img	CerebralCortex_L	276935	1.0000	292.0000	103.3725	31.2436	
kirby142a_3_1_ax.img	CerebralCortex_R	277191	0.0000e+00	320.0000	108.4472	31.8666	
kirby142a_3_1_ax.img	CerebralNucli_L	12948	31.0000	305.0000	187.9703	30.6840	
kirby142a_3_1_ax.img	CerebralNucli_R	13823	30.0000	352.0000	190.1221	32.1674	
kirby142a_3_1_ax.img	Thalamus_L	5919	48.0000	287.0000	214.4761	26.2714	
kirby142a_3_1_ax.img	Thalamus_R	6107	56.0000	307.0000	220.1262	29.1764	
kirby142a_3_1_ax.img	BasalForebrain_L	3238	30.0000	318.0000	218.6738	47.3931	
kirby142a_3_1_ax.img	BasalForebrain_R	2964	59.0000	355.0000	219.6931	42.5334	
kirby142a_3_1_ax.img	Mesencephalon_L	5279	89.0000	320.0000	250.1553	26.4074	
kirby142a_3_1_ax.img	Mesencephalon_R	5237	68.0000	330.0000	255.3041	30.1638	
kirby142a_3_1_ax.img	Metencephalon_R	84585	1.0000	309.0000	156.2747	57.4742	
kirby142a_3_1_ax.img	Metencephalon_L	81219	4.0000	310.0000	145.0254	53.5321	
kirby142a_3_1_ax.img	Myelencephalon_L	2490	47.0000	282.0000	209.2694	38.4623	
kirby142a_3_1_ax.img	Myelencephalon_R	2422	36.0000	297.0000	220.3984	34.1248	
kirby142a_3_1_ax.img	WhiteMatter_L	255720	12.0000	378.0000	195.9777	35.8711	
kirby142a_3_1_ax.img	WhiteMatter_R	261203	13.0000	376.0000	205.0635	35.2730	
kirby142a_3_1_ax.img	Ventricle	42056	0.0000e+00	283.0000	47.5312	38.7481	
kirby142a_3_1_ax.img	Sulcus_L	34992	0.0000e+00	155.0000	31.9940	20.5043	
kirby142a_3_1_ax.img	Sulcus_R	30287	0.0000e+00	151.0000	32.7719	21.3971	



Type1-L3 Statistics

kirby142a_3_1_ax.img	Frontal_L	90975	1.0000	253.0000	100.8271	30.3968	
kirby142a_3_1_ax.img	Frontal_R	91136	0.0000e+00	235.0000	100.3709	28.1708	
kirby142a_3_1_ax.img	Parietal_L	46782	2.0000	201.0000	89.5497	25.7638	
kirby142a_3_1_ax.img	Parietal_R	48618	1.0000	218.0000	99.1174	28.6108	
kirby142a_3_1_ax.img	Temporal_L	66185	1.0000	220.0000	107.0882	27.3386	
kirby142a_3_1_ax.img	Temporal_R	64575	2.0000	259.0000	116.2265	28.7114	
kirby142a_3_1_ax.img	Limbic_L	29520	3.0000	292.0000	131.0796	34.8974	
kirby142a_3_1_ax.img	Limbic_R	29745	8.0000	320.0000	133.9787	36.7043	
kirby142a_3_1_ax.img	Occipital_L	38312	1.0000	227.0000	97.6336	29.9471	
kirby142a_3_1_ax.img	Occipital_R	38124	1.0000	262.0000	105.6220	32.8005	
kirby142a_3_1_ax.img	Insula_L	6819	2.0000	218.0000	122.0852	25.4801	
kirby142a_3_1_ax.img	Insula_R	7013	10.0000	281.0000	129.9002	27.6152	
kirby142a_3_1_ax.img	BasalGang_L	11292	31.0000	305.0000	192.1121	30.0592	
kirby142a_3_1_ax.img	BasalGang_R	11805	46.0000	352.0000	194.3560	31.9873	
kirby142a_3_1_ax.img	Thalamus_L	5919	48.0000	287.0000	214.4761	26.2714	
kirby142a_3_1_ax.img	Thalamus_R	6107	56.0000	307.0000	220.1262	29.1764	
kirby142a_3_1_ax.img	BasalForebrain_L	3238	30.0000	318.0000	218.6738	47.3931	
kirby142a_3_1_ax.img	BasalForebrain_R	2964	59.0000	355.0000	219.6931	42.5334	
