Level5	modify	modify	modify	modify	modify	modify\	modify\	modify\	modify\	modify\
1	SFG_L	SFG_L	Frontal_L	CerebralCortex_L	Telencephalon_L	SF_L	Frontal_L	Frontal_L	Hemisphere_L	Hemisphere_L
2	SFG_R	SFG_R	Frontal_R	CerebralCortex_R	Telencephalon_R	SF_R	Frontal_R	Frontal_R	Hemisphere_R	Hemisphere_R
3	SFG_PFC_L	SFG_L	Frontal_L	CerebralCortex_L	Telencephalon_L	SF_PFC_L	Frontal_L	Frontal_L	Hemisphere_L	Hemisphere_L
4	SFG_PFC_R	SFG_R	Frontal_R	CerebralCortex_R	Telencephalon_R	SF_PFC_R	Frontal_R	Frontal_R	Hemisphere_R	Hemisphere_R
5	SFG_pole_L	SFG_L	Frontal_L	CerebralCortex_L	Telencephalon_L	SF_pole_L	Frontal_L	Frontal_L	Hemisphere_L	Hemisphere_L
6	SFG_pole_R	SFG_R	Frontal_R	CerebralCortex_R	Telencephalon_R	SF_pole_R	Frontal_R	Frontal_R	Hemisphere_R	Hemisphere_R
7	MFG_L	MFG_L	Frontal_L	CerebralCortex_L	Telencephalon_L	MF_L	Frontal_L	Frontal_L	Hemisphere_L	Hemisphere_L
8	MFG_R	MFG_R	Frontal_R	CerebralCortex_R	Telencephalon_R	MF_R	Frontal_R	Frontal_R	Hemisphere_R	Hemisphere_R
9	MFG_DPFC_L	MFG_L	Frontal_L	CerebralCortex_L	Telencephalon_L	MF_DPFC_L	Frontal_L	Frontal_L	Hemisphere_L	Hemisphere_L
10	MFG_DPFC_R	MFG_R	Frontal_R	CerebralCortex_R	Telencephalon_R	MF_DPFC_R	Frontal_R	Frontal_R	Hemisphere_R	Hemisphere_R
11	IFG_opercularis_L	IFG_L	Frontal_L	CerebralCortex_L	Telencephalon_L	IF_opercularis_L	Frontal_L	Frontal_L	Hemisphere_L	Hemisphere_L
12	IFG_opercularis_R	IFG_R	Frontal_R	CerebralCortex_R	Telencephalon_R	IF_opercularis_R	Frontal_R	Frontal_R	Hemisphere_R	Hemisphere_R
13	IFG_orbitalis_L	IFG_L	Frontal_L	CerebralCortex_L	Telencephalon_L	IF_orbitalis_L	Frontal_L	Frontal_L	Hemisphere_L	Hemisphere_L
14	IFG_orbitalis_R	IFG_R	Frontal_R	CerebralCortex_R	Telencephalon_R	IF_orbitalis_R	Frontal_R	Frontal_R	Hemisphere_R	Hemisphere_R
15	IFG_triangularis_L	IFG_L	Frontal_L	CerebralCortex_L	Telencephalon_L	IF_triangularis_L	Frontal_L	Frontal_L	Hemisphere_L	Hemisphere_L
16	IFG_triangularis_R	IFG_R	Frontal_R	CerebralCortex_R	Telencephalon_R	IF_triangularis_R	Frontal_R	Frontal_R	Hemisphere_R	Hemisphere_R
17	LFOG_L	OG_L	Frontal_L	CerebralCortex_L	Telencephalon_L	LFO_L	Frontal_L	Frontal_L	Hemisphere_L	Hemisphere_L
18	LFOG_R	OG_R	Frontal_R	CerebralCortex_R	Telencephalon_R	LFO_R	Frontal_R	Frontal_R	Hemisphere_R	Hemisphere_R
19	MFOG_L	OG_L	Frontal_L	CerebralCortex_L	Telencephalon_L	MFO_L	Frontal_L	Frontal_L	Hemisphere_L	Hemisphere_L
20	MFOG_R	OG_R	Frontal_R	CerebralCortex_R	Telencephalon_R	MFO_R	Frontal_R	Frontal_R	Hemisphere_R	Hemisphere_R
21	RG_L	RG_L	Frontal_L	CerebralCortex_L	Telencephalon_L	R_L	Frontal_L	Frontal_L	Hemisphere_L	Hemisphere_L
22	RG_R	RG_R	Frontal_R	CerebralCortex_R	Telencephalon_R	R_R	Frontal_R	Frontal_R	Hemisphere_R	Hemisphere_R
23	PoCG_L	PoCG_L	Parietal_L	CerebralCortex_L	Telencephalon_L	PoC_L	Parietal_L	Parietal_L	Hemisphere_L	Hemisphere_L
24	PoCG_R	PoCG_R	Parietal_R	CerebralCortex_R	Telencephalon_R	PoC_R	Parietal_R	Parietal_R	Hemisphere_R	Hemisphere_R
25	PrCG_L	PrCG_L	Frontal_L	CerebralCortex_L	Telencephalon_L	PrC_L	Frontal_L	Frontal_L	Hemisphere_L	Hemisphere_L
26	PrCG_R	PrCG_R	Frontal_R	CerebralCortex_R	Telencephalon_R	PrC_R	Frontal_R	Frontal_R	Hemisphere_R	Hemisphere_R
27	SPG_L	SPG_L	Parietal_L	CerebralCortex_L	Telencephalon_L	SP_L	Parietal_L	Parietal_L	Hemisphere_L	Hemisphere_L
28	SPG_R	SPG_R	Parietal_R	CerebralCortex_R	Telencephalon_R	SP_R	Parietal_R	Parietal_R	Hemisphere_R	Hemisphere_R
29	SMG_L	SMG_L	Parietal_L	CerebralCortex_L	Telencephalon_L	SM_L	Parietal_L	Parietal_L	Hemisphere_L	Hemisphere_L
30	SMG_R	SMG_R	Parietal_R	CerebralCortex_R	Telencephalon_R	SM_R	Parietal_R	Parietal_R	Hemisphere_R	Hemisphere_R
31	AG_L	AG_L	Parietal_L	CerebralCortex_L	Telencephalon_L	A_L	Parietal_L	Parietal_L	Hemisphere_L	Hemisphere_L
32	AG_R	AG_R	Parietal_R	CerebralCortex_R	Telencephalon_R	A_R	Parietal_R	Parietal_R	Hemisphere_R	Hemisphere_R
33	PrCu_L	PrCu_L	Parietal_L	CerebralCortex_L	Telencephalon_L	PrCu_L	Parietal_L	Parietal_L	Hemisphere_L	Hemisphere_L
34	PrCu_R	PrCu_R	Parietal_R	CerebralCortex_R	Telencephalon_R	PrCu_R	Parietal_R	Parietal_R	Hemisphere_R	Hemisphere_R
35	STG_L	STG_L	Temporal_L	CerebralCortex_L	Telencephalon_L	ST_L	Temporal_L	Temporal_L	Hemisphere_L	Hemisphere_L
36	STG_R	STG_R	Temporal_R	CerebralCortex_R	Telencephalon_R	ST_R	Temporal_R	Temporal_R	Hemisphere_R	Hemisphere_R
37	STG_L_pole	STG_L	Temporal_L	CerebralCortex_L	Telencephalon_L	ST_L_pole	Temporal_L	Temporal_L	Hemisphere_L	Hemisphere_L
38	STG_R_pole	STG_R	Temporal_R	CerebralCortex_R	Telencephalon_R	ST_R_pole	Temporal_R	Temporal_R	Hemisphere_R	Hemisphere_R
39	MTG_L	MTG_L	Temporal_L	CerebralCortex_L	Telencephalon_L	MT_L	Temporal_L	Temporal_L	Hemisphere_L	Hemisphere_L
40	MTG_R	MTG_R	Temporal_R	CerebralCortex_R	Telencephalon_R	MT_R	Temporal_R	Temporal_R	Hemisphere_R	Hemisphere_R
41	MTG_L_pole	MTG_L	Temporal_L	CerebralCortex_L	Telencephalon_L	MT_L_pole	Temporal_L	Temporal_L	Hemisphere_L	Hemisphere_L
42	MTG_R_pole	MTG_R	Temporal_R	CerebralCortex_R	Telencephalon_R	MT_R_pole	Temporal_R	Temporal_R	Hemisphere_R	Hemisphere_R
43	ITG_L	ITG_L	Temporal_L	CerebralCortex_L	Telencephalon_L	IT_L	Temporal_L	Temporal_L	Hemisphere_L	Hemisphere_L
44	ITG_R	ITG_R	Temporal_R	CerebralCortex_R	Telencephalon_R	IT_R	Temporal_R	Temporal_R	Hemisphere_R	Hemisphere_R
45	PHG_L	Limbic_L	Limbic_L	CerebralCortex_L	Telencephalon_L	PHG_L	Limbic_L	Limbic_L	Hemisphere_L	Hemisphere_L
46	PHG_R	Limbic_R	Limbic_R	CerebralCortex_R	Telencephalon_R	PHG_R	Limbic_R	Limbic_R	Hemisphere_R	Hemisphere_R
47	ENT_L	Limbic_L	Limbic_L	CerebralCortex_L	Telencephalon_L	ENT_L	Limbic_L	Limbic_L	Hemisphere_L	Hemisphere_L
48	ENT_R	Limbic_R	Limbic_R	CerebralCortex_R	Telencephalon_R	ENT_R	Limbic_R	Limbic_R	Hemisphere_R	Hemisphere_R
49	FuG_L	FuG_L	Temporal_L	CerebralCortex_L	Telencephalon_L	Fu_L	Temporal_L	Temporal_L	Hemisphere_L	Hemisphere_L
50	FuG_R	FuG_R	Temporal_R	CerebralCortex_R	Telencephalon_R	Fu_R	Temporal_R	Temporal_R	Hemisphere_R	Hemisphere_R
51	SOG_L	SOG_L	Occipital_L	CerebralCortex_L	Telencephalon_L	SO_L	Occipital_L	Occipital_L	Hemisphere_L	Hemisphere_L
52	SOG_R	SOG_R	Occipital_R	CerebralCortex_R	Telencephalon_R	SO_R	Occipital_R	Occipital_R	Hemisphere_R	Hemisphere_R
53	MOG_L	MOG_L	Occipital_L	CerebralCortex_L	Telencephalon_L	MO_L	Occipital_L	Occipital_L	Hemisphere_L	Hemisphere_L
54	MOG_R	MOG_R	Occipital_R	CerebralCortex_R	Telencephalon_R	MO_R	Occipital_R	Occipital_R	Hemisphere_R	Hemisphere_R
