"","rawid","roi","volume","min","max","mean","std","type","level"
"1","kirby127a_3_1_ax.img","Telencephalon_L",531111,0,374,128.3013,51.8593,1,1
"2","kirby127a_3_1_ax.img","Telencephalon_R",543404,0,300,135.0683,53.6471,1,1
"3","kirby127a_3_1_ax.img","Diencephalon_L",9683,15,295,193.5488,32.2733,1,1
"4","kirby127a_3_1_ax.img","Diencephalon_R",9678,10,335,193.7051,32.7869,1,1
"5","kirby127a_3_1_ax.img","Mesencephalon",10268,55,307,230.8583,29.2249,1,1
"6","kirby127a_3_1_ax.img","Metencephalon",159402,2,299,138.52,52.2241,1,1
"7","kirby127a_3_1_ax.img","Myelencephalon",4973,12,286,199.8497,36.6501,1,1
"8","kirby127a_3_1_ax.img","CSF",109776,0,258,33.0193,26.3262,1,1
"9","kirby127a_3_1_ax.img","CerebralCortex_L",276965,0,249,88.5014,27.751,1,2
"10","kirby127a_3_1_ax.img","CerebralCortex_R",282858,0,295,93.7283,28.1726,1,2
"11","kirby127a_3_1_ax.img","CerebralNucli_L",12380,14,273,165.5364,28.7978,1,2
"12","kirby127a_3_1_ax.img","CerebralNucli_R",13073,16,273,168.7348,30.4016,1,2
"13","kirby127a_3_1_ax.img","Thalamus_L",6342,38,268,192.1482,24.4523,1,2
"14","kirby127a_3_1_ax.img","Thalamus_R",6372,34,265,194.3232,27.0116,1,2
"15","kirby127a_3_1_ax.img","BasalForebrain_L",3341,15,295,196.2076,43.278,1,2
"16","kirby127a_3_1_ax.img","BasalForebrain_R",3306,10,335,192.514,41.6949,1,2
"17","kirby127a_3_1_ax.img","Mesencephalon_L",4943,57,296,228.3875,27.4134,1,2
"18","kirby127a_3_1_ax.img","Mesencephalon_R",5325,55,307,233.1521,30.6334,1,2
"19","kirby127a_3_1_ax.img","Metencephalon_R",79910,2,299,144.9297,53.1512,1,2
"20","kirby127a_3_1_ax.img","Metencephalon_L",79493,3,275,132.0767,50.4612,1,2
"21","kirby127a_3_1_ax.img","Myelencephalon_L",2403,25,283,196.0509,37.1295,1,2
"22","kirby127a_3_1_ax.img","Myelencephalon_R",2571,12,286,203.4001,35.834,1,2
"23","kirby127a_3_1_ax.img","WhiteMatter_L",241767,2,374,171.9891,34.4828,1,2
"24","kirby127a_3_1_ax.img","WhiteMatter_R",247473,10,300,180.541,35.8129,1,2
"25","kirby127a_3_1_ax.img","Ventricle",45791,0,258,37.3184,34.2745,1,2
"26","kirby127a_3_1_ax.img","Sulcus_L",33971,0,137,29.4653,17.5085,1,2
"27","kirby127a_3_1_ax.img","Sulcus_R",30015,0,161,30.4828,18.6214,1,2
"28","kirby127a_3_1_ax.img","Frontal_L",98664,3,216,84.0761,26.2082,1,3
"29","kirby127a_3_1_ax.img","Frontal_R",98601,0,223,86.7462,24.5228,1,3
"30","kirby127a_3_1_ax.img","Parietal_L",41675,1,166,77.8193,22.4837,1,3
"31","kirby127a_3_1_ax.img","Parietal_R",47756,0,176,83.4276,24.1664,1,3
"32","kirby127a_3_1_ax.img","Temporal_L",63338,0,187,90.6359,24.3093,1,3
"33","kirby127a_3_1_ax.img","Temporal_R",61805,1,203,101.3945,25.6216,1,3
"34","kirby127a_3_1_ax.img","Limbic_L",30777,5,249,115.279,31.8381,1,3
"35","kirby127a_3_1_ax.img","Limbic_R",34931,5,295,115.0251,33.5186,1,3
"36","kirby127a_3_1_ax.img","Occipital_L",37254,1,188,86.5518,27.413,1,3
"37","kirby127a_3_1_ax.img","Occipital_R",35034,0,220,92.6425,29.3143,1,3
"38","kirby127a_3_1_ax.img","Insula_L",7241,10,209,102.3419,22.1017,1,3
"39","kirby127a_3_1_ax.img","Insula_R",7082,10,246,112.8027,24.011,1,3
"40","kirby127a_3_1_ax.img","BasalGang_L",10397,14,273,170.1155,28.0932,1,3
"41","kirby127a_3_1_ax.img","BasalGang_R",10725,16,273,172.6275,30.8627,1,3
"42","kirby127a_3_1_ax.img","Thalamus_L",6342,38,268,192.1482,24.4523,1,3
"43","kirby127a_3_1_ax.img","Thalamus_R",6372,34,265,194.3232,27.0116,1,3
"44","kirby127a_3_1_ax.img","BasalForebrain_L",3341,15,295,196.2076,43.278,1,3
"45","kirby127a_3_1_ax.img","BasalForebrain_R",3306,10,335,192.514,41.6949,1,3
"46","kirby127a_3_1_ax.img","midbrain_L",4943,57,296,228.3875,27.4134,1,3
"47","kirby127a_3_1_ax.img","midbrain_R",5325,55,307,233.1521,30.6334,1,3
